name,pos,school,age,projRound,projPick,seasons,games,rushYds,rushTDs,rushAtt,recYds,recTDs,receptions,passTDs,weight,forty,height,bestRecYds,bestRushYds,dominatorRating,breakoutAge,breakoutScore,recYdsPerTPA,receptionShare,teammateScore
Jeremiyah Love,RB,Notre Dame,21,1,3,3,34,2164,22,372,333,3,34,0,212,4.36,71,173,1022,28.5,19,0.368,0.320,0.053,0.15
Ashton Jeanty,RB,Boise State,21,1,6,3,38,4769,62,735,319,4,39,0,215,4.47,70,190,2601,45.2,19,0.404,0.352,0.070,0.08
Cam Ward,QB,Miami,23,1,1,5,56,0,0,0,0,0,0,97,215,4.72,74,0,0,0,0,0,0,0,0
Travis Hunter,WR,Colorado,22,1,2,3,35,93,4,16,1480,14,122,0,185,4.38,73,1152,93,35.8,20,0.045,0.045,0.18,0.12
Tetairoa McMillan,WR,Arizona,21,1,8,3,37,36,0,8,2688,21,167,0,212,4.50,77,1319,36,38.2,19,0.048,0.048,0.22,0.10
Jordyn Tyson,WR,Arizona State,22,1,15,3,35,82,2,14,2326,18,159,0,182,4.38,71,1101,82,32.1,20,0.042,0.042,0.19,0.08
Carnell Tate,WR,Ohio State,21,2,35,2,27,30,0,5,1105,10,72,0,185,4.42,73,650,30,25.4,20,0.025,0.025,0.12,0.22
Makai Lemon,WR,USC,21,2,40,2,28,158,2,26,1243,9,91,0,186,4.39,71,756,158,27.3,20,0.030,0.030,0.14,0.09
KC Concepcion,WR,NC State,23,3,75,4,47,0,0,0,2142,16,155,0,190,4.48,73,835,0,22.8,21,0.032,0.032,0.15,0.05
Kenyon Sadiq,TE,Washington,22,1,10,3,36,0,0,0,1127,10,84,0,253,4.58,77,534,0,18.5,21,0.022,0.022,0.10,0.10
Eli Stowers,TE,Texas,22,2,45,3,36,0,0,0,890,9,73,0,248,4.55,78,410,0,15.2,21,0.018,0.018,0.09,0.06
Michael Trigg,TE,Tennessee,23,3,80,4,40,0,0,0,782,8,61,0,245,4.60,78,378,0,12.8,22,0.015,0.015,0.07,0.04
Emmett Johnson,RB,Nebraska,22,5,137,4,48,2887,30,530,420,3,48,0,205,4.48,70,875,2887,24.1,20,0.347,0.323,0.057,0.06
Nick Singleton,RB,Penn State,22,5,146,3,38,2350,24,425,310,2,35,0,222,4.41,72,1061,2350,26.3,20,0.342,0.318,0.057,0.18
Jadarian Price,RB,Notre Dame,22,2,56,3,32,1280,14,228,380,3,42,0,195,4.52,70,482,1280,18.5,20,0.393,0.365,0.065,0.15
Mike Washington Jr.,RB,Arkansas,22,3,71,3,34,1950,18,340,280,2,30,0,208,4.45,71,785,1950,22.8,20,0.289,0.269,0.046,0.04
Jonah Coleman,RB,Washington,22,3,99,3,33,2120,20,380,190,1,22,0,210,4.50,70,1205,2120,25.1,20,0.180,0.167,0.031,0.10
Kaytron Allen,RB,Penn State,22,5,160,3,37,2150,18,410,180,1,22,0,220,4.52,71,890,2150,22.5,20,0.198,0.185,0.037,0.18
Seth McGowan,RB,Kentucky,23,4,127,4,42,1850,15,350,320,2,36,0,210,4.50,71,680,1850,19.2,21,0.264,0.264,0.048,0.04
Le'Veon Moss,RB,Texas A&M,22,5,150,3,34,1650,14,310,210,1,24,0,215,4.48,71,720,1650,18.8,20,0.232,0.215,0.041,0.06
Demond Claiborne,RB,Wake Forest,22,6,180,3,34,1480,12,285,350,3,40,0,205,4.45,70,560,1480,17.2,20,0.331,0.308,0.056,0.02
Eli Heidenreich,RB,Purdue,22,6,190,3,33,1350,11,268,280,2,32,0,200,4.48,70,520,1350,16.5,20,0.281,0.261,0.048,0.03
Adam Randall,RB,Clemson,22,6,195,3,32,1200,10,240,250,2,28,0,215,4.50,72,480,1200,15.8,20,0.276,0.256,0.045,0.08
J'Mari Taylor,RB,Tennessee,21,7,210,2,24,1100,9,210,180,1,20,0,205,4.46,70,620,1100,16.0,20,0.198,0.185,0.033,0.06
Desmond Reid,RB,Pitt,22,7,220,3,36,1680,12,320,420,3,48,0,185,4.38,68,560,1680,18.5,20,0.434,0.404,0.072,0.04
Jam Miller,RB,USC,22,7,230,3,35,1550,12,295,180,1,20,0,210,4.52,70,600,1550,16.8,20,0.170,0.158,0.028,0.09
Robert Henry,RB,UCLA,23,7,240,4,42,1800,14,345,150,1,18,0,218,4.55,71,580,1800,17.5,21,0.108,0.108,0.019,0.03
Roman Hemby,RB,Maryland,22,7,245,3,35,1420,11,275,280,2,30,0,205,4.50,70,520,1420,16.2,20,0.289,0.269,0.046,0.04
CJ Donaldson,RB,West Virginia,22,7,250,3,30,1350,12,260,120,1,14,0,225,4.55,73,580,1350,18.0,20,0.120,0.112,0.022,0.02
Noah Whittington,RB,Oregon,23,7,255,4,44,1680,10,330,220,1,24,0,200,4.48,69,480,1680,14.5,21,0.159,0.159,0.027,0.10
Rahsul Faison,RB,Duke,22,7,260,3,34,1520,13,290,180,1,20,0,198,4.42,69,580,1520,17.2,20,0.180,0.168,0.030,0.02
Omar Cooper,WR,NC State,22,3,70,3,36,40,0,8,1820,14,125,0,190,4.42,73,780,40,24.5,20,0.035,0.035,0.15,0.05
Denzel Boston,WR,Washington,22,2,50,3,37,20,0,4,1950,16,130,0,195,4.45,75,820,20,26.8,20,0.038,0.038,0.16,0.10
Chris Brazzell,WR,Alabama,21,3,68,2,26,30,0,5,1250,10,85,0,188,4.40,74,750,30,22.5,20,0.028,0.028,0.12,0.12
Germie Bernard,WR,Washington,22,3,82,3,35,50,0,8,1680,12,112,0,182,4.38,71,680,50,23.2,20,0.032,0.032,0.14,0.10
Elijah Sarratt,WR,Virginia,23,3,90,4,46,60,0,10,2350,18,162,0,185,4.44,73,820,60,25.8,21,0.036,0.036,0.16,0.03
Zachariah Branch,WR,USC,21,3,78,2,24,120,1,18,950,6,68,0,175,4.30,69,520,120,18.5,20,0.022,0.022,0.10,0.09
Antonio Williams,WR,Ohio State,21,3,85,2,28,20,0,3,1180,9,78,0,192,4.40,74,680,20,22.0,20,0.028,0.028,0.12,0.22
Chris Bell,WR,Georgia,22,4,120,3,36,30,0,5,1450,11,98,0,188,4.43,74,680,30,21.5,21,0.028,0.028,0.12,0.12
Malachi Fields,WR,Virginia Tech,22,4,130,3,35,40,0,6,1580,12,108,0,195,4.48,75,620,40,22.0,21,0.030,0.030,0.13,0.04
Ja'Kobi Lane,WR,Texas,21,4,110,2,26,15,0,3,1050,8,72,0,190,4.42,74,620,15,20.5,20,0.025,0.025,0.11,0.06
Ted Hurst,WR,South Carolina,22,5,140,3,36,10,0,2,1320,10,95,0,186,4.44,73,540,10,19.8,21,0.025,0.025,0.11,0.03
Skyler Bell,WR,Wisconsin,23,5,145,4,46,80,1,12,1580,10,112,0,188,4.46,72,550,80,18.2,22,0.024,0.024,0.10,0.03
Eric McAlister,WR,Tulane,22,5,148,3,35,20,0,3,1380,10,96,0,192,4.48,74,520,20,19.5,21,0.026,0.026,0.11,0.02
Brenen Thompson,WR,Kansas State,21,6,175,2,24,90,1,14,880,6,62,0,178,4.35,70,480,90,17.5,20,0.022,0.022,0.10,0.04
Bryce Lance,WR,North Texas,22,6,185,3,36,30,0,5,1650,12,118,0,185,4.45,72,620,30,22.0,21,0.030,0.030,0.13,0.01
Reggie Virgil,WR,Boise State,22,6,190,3,36,40,0,6,1420,10,98,0,180,4.40,71,560,40,20.0,21,0.028,0.028,0.12,0.08
