Season,Rank,Team,Record,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last
2006-07,1,"Ohio St",12-1,18.4,1-1,1-0,1-0,1,44,1
2006-07,2,"Louisville",12-1,18.0,1-0,0-1,2-0,1,76,2
2006-07,3,"LSU",11-2,17.2,0-1,2-1,1-0,2,39,3
2006-07,4,"BYU",11-2,16.3,0-0,1-1,2-0,3,93,4
2006-07,5,"USC",11-2,16.2,1-0,3-0,2-2,3,105,5
2006-07,6,"Florida",13-1,15.5,2-0,3-1,2-0,4,36,6
2006-07,7,"Boise St",13-0,13.8,1-0,1-0,3-0,5,26,7
2006-07,8,"West Virginia",11-2,13.2,0-1,1-0,2-0,4,115,8
2006-07,9,"Michigan",11-2,12.9,0-2,1-0,2-0,3,41,9
2006-07,10,"Hawai'i",11-3,12.8,0-1,0-0,1-1,7,74,10
2006-07,11,"Texas",10-3,12.8,0-1,3-0,1-1,2,61,11
2006-07,12,"Oklahoma",11-3,12.4,0-1,2-1,3-1,11,54,12
2006-07,13,"California",10-3,11.9,0-1,0-1,4-0,7,88,13
2006-07,14,"Rutgers",11-2,11.6,1-1,0-0,1-0,12,114,14
2006-07,15,"Clemson",8-5,10.6,0-0,0-3,3-0,3,109,15
2006-07,16,"TCU",11-2,10.2,0-1,0-0,1-1,15,69,16
2006-07,17,"Tennessee",9-4,10.0,0-2,2-1,1-1,11,38,17
2006-07,18,"Wisconsin",12-1,9.9,0-1,1-0,1-0,11,43,18
2006-07,19,"Virginia Tech",10-3,9.6,0-0,1-1,1-2,11,100,19
2006-07,20,"Arkansas",10-4,9.3,0-3,3-1,0-0,20,113,20
2006-07,21,"Nebraska",9-5,9.3,0-1,0-4,2-0,5,59,21
2006-07,22,"Auburn",11-2,9.1,2-0,2-1,0-1,3,33,22
2006-07,23,"South Carolina",8-5,7.2,0-1,1-3,0-1,3,86,23
2006-07,24,"Boston College",10-3,7.2,1-0,2-0,1-1,8,113,24
2006-07,25,"Oklahoma St",7-6,6.8,0-0,1-2,0-2,10,56,25
2006-07,26,"Missouri",8-5,6.5,0-0,0-2,1-2,15,49,26
2006-07,27,"Notre Dame",10-3,6.4,0-3,0-0,3-0,19,41,27
2006-07,28,"Pittsburgh",6-6,5.6,0-2,0-1,0-0,6,112,28
