Season,Rank,Team,Record,Rating,Hi,Lo,Last
2006-07,1,"Florida",13-1,6.3,1,83,1
2006-07,2,"USC",11-2,5.3,1,105,2
2006-07,3,"Tennessee",9-4,4.8,1,73,3
2006-07,4,"Arkansas",10-4,4.5,4,62,4
2006-07,5,"Michigan",11-2,4.3,2,78,5
2006-07,6,"LSU",11-2,4.2,3,104,6
2006-07,7,"Oklahoma",11-3,3.9,5,67,7
2006-07,8,"Ohio St",12-1,3.7,1,80,8
2006-07,9,"California",10-3,3.5,2,86,9
2006-07,10,"Oregon",7-6,3.4,3,107,10
2006-07,11,"Stanford",1-11,3.2,2,89,11
2006-07,12,"Oregon St",10-4,3.0,12,116,12
2006-07,13,"Arizona",6-6,2.9,6,102,13
2006-07,14,"Louisville",12-1,2.9,4,87,14
2006-07,15,"Nebraska",9-5,2.9,6,112,15
2006-07,16,"UCLA",7-6,2.9,13,106,16
2006-07,17,"Auburn",11-2,2.8,10,82,17
2006-07,18,"South Carolina",8-5,2.7,18,113,18
2006-07,19,"Texas",10-3,2.7,1,93,19
2006-07,20,"Rutgers",11-2,2.5,14,116,20
2006-07,21,"Arizona St",7-6,2.5,13,119,21
2006-07,22,"West Virginia",11-2,2.3,11,115,22
2006-07,23,"Alabama",6-7,2.3,20,70,23
2006-07,24,"Kentucky",8-5,2.2,8,67,24
2006-07,25,"Washington",5-7,2.2,7,88,25
2006-07,26,"Cincinnati",8-5,2.0,9,118,26
2006-07,27,"Notre Dame",10-3,2.0,5,52,27
2006-07,28,"BYU",11-2,1.9,22,93,28
2006-07,29,"Oklahoma St",7-6,1.7,16,116,29
2006-07,30,"Syracuse",4-8,1.7,9,117,30
2006-07,31,"Boston College",10-3,1.6,5,113,31
2006-07,32,"Georgia",9-4,1.5,24,110,32
2006-07,33,"Washington St",6-6,1.5,6,103,33
2006-07,34,"Texas Tech",8-5,1.3,19,86,34
2006-07,35,"Minnesota",6-7,1.3,1,112,35
2006-07,36,"Penn St",9-4,1.0,14,88,36
2006-07,37,"Texas A&M",9-4,1.0,30,117,37
2006-07,38,"Boise St",13-0,1.0,15,113,38
2006-07,39,"Clemson",8-5,0.7,12,109,39
2006-07,40,"Pittsburgh",6-6,0.6,36,112,40
2006-07,41,"Wake Forest",11-3,0.5,41,112,41
2006-07,42,"Vanderbilt",4-8,0.4,6,76,42
2006-07,43,"Georgia Tech",9-5,0.2,38,113,43
2006-07,44,"Virginia Tech",10-3,0.2,33,118,44
2006-07,45,"Missouri",8-5,0.0,25,115,45
2006-07,46,"Florida St",7-6,-0.1,24,95,46
2006-07,47,"S Florida",9-4,-0.2,40,118,47
2006-07,48,"Iowa",6-7,-0.3,25,112,48
2006-07,49,"Mississippi St",3-9,-0.4,8,84,49
2006-07,50,"Utah",8-5,-0.4,13,78,50
2006-07,51,"Air Force",4-8,-0.5,1,81,51
2006-07,52,"Kansas St",7-6,-0.7,40,118,52
2006-07,53,"UConn",4-8,-0.7,46,119,53
2006-07,54,"Mississippi",4-8,-0.8,27,76,54
2006-07,55,"Miami",7-6,-0.8,19,108,55
2006-07,56,"Maryland",9-4,-1.0,33,109,56
2006-07,57,"Wisconsin",12-1,-1.2,36,90,57
2006-07,58,"Iowa St",4-8,-1.2,7,104,58
2006-07,59,"Baylor",4-8,-1.5,43,98,59
2006-07,60,"Virginia",5-7,-1.6,4,94,60
2006-07,61,"Hawai'i",11-3,-1.6,4,65,61
2006-07,62,"Colorado",2-10,-1.6,37,107,62
2006-07,63,"Wyoming",6-6,-1.7,23,91,63
2006-07,64,"TCU",11-2,-1.7,23,75,64
2006-07,65,"NC State",3-9,-1.8,38,111,65
2006-07,66,"Michigan St",4-8,-1.9,19,106,66
2006-07,67,"Southern Miss",9-5,-2.0,9,77,67
2006-07,68,"Purdue",8-6,-2.1,44,117,68
2006-07,69,"North Carolina",3-9,-2.2,21,98,69
2006-07,70,"Indiana",5-7,-2.3,25,111,70
2006-07,71,"Tulsa",8-5,-2.3,21,118,71
2006-07,72,"Northwestern",4-8,-2.3,38,116,72
2006-07,73,"E Carolina",7-6,-2.4,29,77,73
2006-07,74,"Rice",7-6,-2.8,1,77,74
2006-07,75,"Kansas",6-6,-2.9,51,117,75
2006-07,76,"Colorado St",4-8,-2.9,68,115,76
2006-07,77,"Illinois",2-10,-3.1,40,116,77
2006-07,78,"Houston",10-4,-3.3,32,109,78
2006-07,79,"Nevada",8-5,-3.4,3,90,79
2006-07,80,"Fresno St",4-8,-3.8,15,110,80
2006-07,81,"New Mexico",6-7,-3.8,62,108,81
2006-07,82,"Tulane",4-8,-3.8,3,86,82
2006-07,83,"C Michigan",10-4,-4.1,9,107,83
2006-07,84,"UNLV",2-10,-4.1,62,107,84
2006-07,85,"W Michigan",8-5,-4.2,1,110,85
2006-07,86,"Duke",0-12,-4.2,68,109,86
2006-07,87,"Navy",9-4,-4.2,21,111,87
2006-07,88,"San Diego St",3-9,-4.3,12,108,88
2006-07,89,"UAB",3-9,-4.4,5,104,89
2006-07,90,"N Illinois",7-6,-4.5,4,105,90
2006-07,91,"E Michigan",1-11,-4.5,2,96,91
2006-07,92,"Temple",1-11,-4.5,3,111,92
2006-07,93,"Ohio",9-5,-4.7,7,119,93
2006-07,94,"Marshall",5-7,-4.8,6,100,94
2006-07,95,"Middle Tenn",7-6,-4.9,42,109,95
2006-07,96,"Miami OH",2-10,-5.4,6,99,96
2006-07,97,"UTEP",5-7,-5.5,5,109,97
2006-07,98,"UCF",4-8,-5.5,11,110,98
2006-07,99,"Akron",5-7,-5.7,12,101,99
2006-07,100,"Memphis",2-10,-5.9,31,116,100
2006-07,101,"Ball St",5-7,-6.1,2,117,101
2006-07,102,"Army",3-9,-6.1,25,109,102
2006-07,103,"San Jose St",9-4,-6.3,14,119,103
2006-07,104,"SMU",6-6,-6.3,7,111,104
2006-07,105,"Buffalo",2-10,-6.3,13,117,105
2006-07,106,"UL Monroe",4-8,-6.5,75,117,106
2006-07,107,"Utah St",1-11,-6.6,6,107,107
2006-07,108,"Toledo",5-7,-6.9,3,108,108
2006-07,109,"Troy",8-5,-7.3,40,117,109
2006-07,110,"Arkansas St",6-6,-7.5,24,117,110
2006-07,111,"Florida Atlantic",5-7,-8.0,2,119,111
2006-07,112,"Kent St",6-6,-8.2,1,117,112
2006-07,113,"Florida Intl",0-12,-8.2,4,118,113
2006-07,114,"Bowling Green",4-8,-8.5,8,114,114
2006-07,115,"Idaho",4-8,-8.6,4,118,115
2006-07,116,"N Texas",3-9,-8.9,1,118,116
2006-07,117,"New Mexico St",4-8,-9.0,83,119,117
2006-07,118,"Louisiana",6-6,-9.2,1,118,118
2006-07,119,"Louisiana Tech",3-10,-10.7,1,119,119
2007-08,1,"Oklahoma",11-3,8.2,1,72,1
2007-08,2,"Missouri",12-2,7.7,1,77,2
2007-08,3,"UCLA",6-7,7.5,2,65,3
2007-08,4,"West Virginia",11-2,7.4,3,82,4
2007-08,5,"Oregon St",9-4,7.2,2,47,5
2007-08,6,"Oregon",9-4,7.0,3,59,6
2007-08,7,"Washington",4-9,6.8,1,82,7
2007-08,8,"USC",11-2,6.8,1,97,8
2007-08,9,"LSU",12-2,6.5,2,85,9
2007-08,10,"Florida",9-4,6.4,2,110,10
2007-08,11,"Arizona",5-7,6.0,8,77,11
2007-08,12,"California",7-6,5.7,2,53,12
2007-08,13,"S Florida",9-4,5.6,8,108,13
2007-08,14,"Auburn",9-4,5.5,2,68,14
2007-08,15,"Tennessee",10-4,5.4,1,26,15
2007-08,16,"Arizona St",10-3,5.4,10,106,16
2007-08,17,"Georgia",11-2,5.1,11,58,17
2007-08,18,"Oklahoma St",7-6,5.0,7,39,18
2007-08,19,"South Carolina",6-6,4.7,6,93,19
2007-08,20,"Virginia Tech",11-3,4.6,7,67,20
2007-08,21,"Texas A&M",7-6,4.4,19,111,21
2007-08,22,"Ohio St",11-2,4.4,9,111,22
2007-08,23,"Nebraska",5-7,4.3,5,83,23
2007-08,24,"Kentucky",8-5,4.2,8,118,24
2007-08,25,"Louisville",6-6,4.0,2,112,25
2007-08,26,"Texas",10-3,4.0,8,89,26
2007-08,27,"Kansas",12-1,3.9,24,120,27
2007-08,28,"Washington St",5-7,3.9,5,68,28
2007-08,29,"Arkansas",8-5,3.5,7,99,29
2007-08,30,"Florida St",7-6,3.4,6,37,30
2007-08,31,"Michigan",9-4,3.3,14,105,31
2007-08,32,"Cincinnati",10-3,3.3,13,118,32
2007-08,33,"Colorado",6-7,3.2,4,60,33
2007-08,34,"Texas Tech",9-4,3.1,29,105,34
2007-08,35,"Stanford",4-8,2.7,6,92,35
2007-08,36,"Alabama",7-6,2.6,15,104,36
2007-08,37,"Maryland",6-7,2.5,32,120,37
2007-08,38,"Kansas St",5-7,2.4,5,89,38
2007-08,39,"Illinois",9-4,2.2,29,91,39
2007-08,40,"BYU",11-2,1.9,9,57,40
2007-08,41,"Clemson",9-4,1.8,21,96,41
2007-08,42,"Pittsburgh",5-7,1.6,37,120,42
2007-08,43,"Boston College",11-3,1.6,15,81,43
2007-08,44,"Penn St",9-4,1.4,33,114,44
2007-08,45,"Mississippi St",8-5,1.4,2,80,45
2007-08,46,"Notre Dame",3-9,1.4,2,48,46
