Season,Rank,Team,SeasonAvg,Last3,Last1,Home,Away,PrevYear
2006-07,1,Hawai'i,43.4,46.7,42,45.9,39.4,48.2
2006-07,2,Baylor,40.1,38.7,45,38.2,42.4,36.1
2006-07,3,New Mexico St,39.3,45.7,57,45,33.6,45.3
2006-07,4,Texas Tech,37.8,49,55,43.6,33.6,48.6
2006-07,5,Purdue,36.5,37,36,29.5,42.4,38.9
2006-07,6,Boston College,35.8,31,30,35,36.7,34.5
2006-07,7,Oregon,35.7,40.7,34,29.4,40.1,39.5
2006-07,8,BYU,33,44,46,24,40.7,43.1
2006-07,9,Notre Dame,32.8,36.7,35,32.6,33,37.8
2006-07,10,Washington St,32.7,39.7,54,37,28.3,34.5
2006-07,11,UNLV,32.4,23.7,34,32.6,32.2,35.8
2006-07,12,Indiana,31.7,40.7,42,32,31.4,36.7
2006-07,13,USC,31.3,24.3,45,31.5,31.1,36.8
2006-07,14,Alabama,30.2,34,33,29.4,31.6,29.3
2006-07,15,NC State,30,31.3,28,33.8,25.4,27.9
2006-07,16,Duke,29.7,36.3,36,31.7,27.4,25.8
2006-07,17,Michigan St,29.6,27.3,0,32,26.2,34.5
2006-07,18,Iowa St,29.4,29,27,25.3,34.2,29.7
2006-07,19,Kentucky,29.3,34.3,29,29.3,29.3,28.4
2006-07,20,Minnesota,29.1,30,31,30,28.4,26.9
2006-07,21,Virginia,28.8,28.7,21,28,29.5,30.3
2006-07,22,North Carolina,28.5,26.7,31,29.8,26.8,32.3
2006-07,23,Ball St,28.2,21.7,31,34,23.3,30.7
2006-07,24,Florida Intl,28.2,27.7,51,35.4,23,36.1
2006-07,25,LSU,28.2,30.7,34,24.8,33.6,28.2
2006-07,26,Mississippi St,28.1,30,31,28.7,27.4,27.5
2006-07,27,Texas,28,34.7,40,28.7,27.3,25.8
2006-07,28,C Michigan,27.7,15.3,26,29.4,26.8,38.7
2006-07,29,Miami,27.7,21,19,27,28.3,28.2
2006-07,30,Iowa,27.4,31.3,25,31.7,23.2,34.5
2006-07,31,California,27.3,23,0,25,29.7,26.6
2006-07,32,Colorado St,27.3,23,0,31.8,24.7,33.3
2006-07,32,UConn,27.3,25.3,19,29.7,24.4,27.9
2006-07,34,Louisville,27.2,31,35,23.8,30,31.3
2006-07,35,Louisiana Tech,27.1,32.7,40,25.5,27.9,32.4
2006-07,36,Idaho,27,17,0,23.3,29.1,38.4
2006-07,36,Tulane,27,21.3,21,35.8,20.7,37.3
2006-07,38,Nebraska,26.8,35.7,27,28.8,25.1,37.1
2006-07,38,E Carolina,26.8,24.3,44,28.8,25.1,33.6
2006-07,40,Utah,26.8,37.7,34,31.6,23.4,34.4
2006-07,41,Vanderbilt,26.8,35,24,23.4,29.7,42.4
2006-07,42,Washington,26.6,35,27,22,31.2,29.4
2006-07,43,E Michigan,26.5,29.7,18,12.5,33.5,38.3
2006-07,44,Maryland,26.3,31,24,19.5,33.2,31.9
2006-07,45,Ohio St,26.2,26.3,14,29.1,22.7,25.2
2006-07,46,Memphis,26,32,26,25.5,26.6,19.5
