Season,Rank,Team,SeasonAvg,Last3,Last1,Home,Away,PrevYear
2006-07,1,Hawai'i,434.5,464.7,559,450.3,409.4,384.3
2006-07,2,New Mexico St,316.4,405.3,518,369.2,263.6,265.3
2006-07,3,BYU,302.5,404.7,375,264.7,334.9,315.1
2006-07,4,Purdue,273.2,302,264,215,323,241.7
2006-07,5,Texas Tech,271.2,349.3,445,348.4,216,372
2006-07,6,Louisville,269.4,339.3,332,265.8,272.4,293.6
2006-07,7,LSU,251.7,255,332,248.3,257.2,225.4
2006-07,8,Baylor,246.4,215.7,188,233.8,261.4,205
2006-07,9,Boston College,245,220,242,232.2,257.8,242.8
2006-07,10,Notre Dame,240.7,213.3,148,234.3,248.2,330.3
2006-07,11,USC,239.9,218.7,391,224.5,253.1,319.8
2006-07,12,Kentucky,235,316.7,309,261.5,208.5,169
2006-07,13,Oregon,229.2,207.7,166,180,264.3,301.4
2006-07,14,Ball St,228.6,172.7,268,290.8,176.8,189
2006-07,15,Minnesota,227,257.7,263,274.6,193,221.7
2006-07,16,Washington St,226,252.7,328,269,183,273.8
2006-07,17,Nebraska,224.1,228.7,126,304,155.6,227.3
2006-07,18,Ohio St,214.7,181.7,35,251.4,171.8,225.7
2006-07,19,Alabama,212.8,237,168,208.4,220,216.4
2006-07,20,Texas,209.3,236.3,308,229.8,188.8,237.2
2006-07,21,California,206.8,131,0,211.2,202.5,193.5
2006-07,22,Iowa,206.3,269.3,274,224.8,187.8,257.1
2006-07,23,Pittsburgh,205.8,301,328,233,173.2,210.2
2006-07,24,Michigan St,203.3,167.3,0,214.4,187.8,295.5
2006-07,25,Colorado St,202.7,167,0,225.5,189.7,286.3
2006-07,26,C Michigan,202.4,169.3,162,190.2,209.2,260.1
2006-07,27,Cincinnati,200.6,263,221,180.2,221,211.2
2006-07,28,Indiana,198.8,243.3,290,196.3,201.8,210.9
2006-07,29,UNLV,198.6,171,351,217.8,182.7,217.2
2006-07,30,Vanderbilt,197.1,284.3,109,140,244.7,280.4
2006-07,31,Tulane,197.1,115,78,283.6,135.3,222.7
2006-07,32,Miami,195.3,201.7,272,159.3,231.2,215.5
2006-07,33,Michigan,195.2,248,309,156.3,240.7,222.7
2006-07,34,Utah,193.5,284,240,252.2,151.6,294.5
