Season,Rank,Team,SeasonAvg,Last3,Last1,Home,Away,PrevYear
2006-07,1,Navy,59.4,56.3,59,56.8,60.8,56
2006-07,2,Air Force,49.6,43.3,44,53.7,45.5,53.5
2006-07,3,Michigan,41.2,34.3,27,44.7,37,41.6
2006-07,4,Cincinnati,39.8,40.3,34,43.2,36.3,38.5
2006-07,5,UConn,39.5,33.7,31,40.2,38.6,42.3
2006-07,6,Boise St,38.7,42.7,35,43,35.6,42.6
2006-07,7,Wisconsin,38,38,28,37.3,38.7,43.8
2006-07,8,TCU,37.9,46,46,31.8,42.3,44.8
2006-07,9,Georgia Tech,37.7,35,32,37.5,37.9,38.7
2006-07,10,Ohio St,36.9,32,23,34.7,39.5,39.5
2006-07,11,Oklahoma,36.6,37.7,38,37.8,35.6,43.5
2006-07,12,Minnesota,36.4,40.7,47,34,38.1,50.8
2006-07,13,West Virginia,36.3,43,45,27.5,45,51
2006-07,14,Nebraska,35.8,35,38,40.5,31.9,34.4
2006-07,15,Colorado,35.7,36.3,31,43.4,29.3,33
2006-07,16,Wake Forest,35.2,43,29,22.8,42.9,47.7
2006-07,17,Nevada,35,34,38,32.2,37.4,44.7
2006-07,17,Alabama,35,30.7,34,35.1,34.8,38.6
2006-07,19,Duke,34.7,28,27,34,35.6,39
2006-07,20,LSU,34.6,34.7,37,35.5,33.2,39.8
2006-07,21,Maryland,34.2,37.3,50,33.5,34.8,39.3
2006-07,22,Boston College,33.7,28.7,31,36.2,31.2,37.4
2006-07,23,S Florida,33.6,37.3,43,29.6,36.4,47.5
2006-07,24,Auburn,33.5,33.3,35,35.4,30.4,39.9
2006-07,25,Oklahoma St,33.2,43.3,41,26.8,37.7,39.1
2006-07,25,Texas,33.2,30.3,21,37,29.3,46.5
2006-07,27,Bowling Green,33.1,12.7,0,38.2,29.4,38
2006-07,27,N Texas,33.1,24.7,25,32.4,33.6,36.8
2006-07,29,Louisville,32.8,37.3,37,28,37,39.3
2006-07,30,Fresno St,32.8,26.7,0,37.7,28,37.2
2006-07,30,Kent St,32.8,35.7,32,26.6,37.3,26.1
2006-07,32,Mississippi,32.7,33,27,35.2,29.8,29.1
2006-07,33,Arizona St,32.7,27,36,32.2,33,37.3
2006-07,33,Arkansas St,32.7,27.7,38,36,30.3,40.5
2006-07,35,Clemson,32.5,21.3,25,31,34.3,37.7
2006-07,36,Oregon,32.5,29.7,30,30.6,33.9,35.4
2006-07,37,Louisiana,32.5,45.7,41,37,28.7,48.9
2006-07,38,Virginia Tech,32.4,34.7,26,33.1,31.4,46
2006-07,39,Utah St,32.2,33.7,33,35,30.1,39.8
2006-07,40,Miami,32,31.3,31,31.5,32.5,37.3
2006-07,41,Northwestern,31.6,39,52,39.4,25.2,38.5
2006-07,42,North Carolina,31.5,32,32,34.3,28,36.6
2006-07,43,BYU,31.2,29,31,32,30.6,35.1
2006-07,44,Michigan St,31,21,0,34.9,25.6,41.2
2006-07,44,Arkansas,31,36,34,28.7,33,43
2006-07,46,Kansas,30.9,37,29,29.8,32.2,35.2
2006-07,47,UL Monroe,30.5,45.7,33,25.3,32.5,36.6
2006-07,48,Virginia,30.3,32.3,23,33.3,27.3,37.5
2006-07,49,Iowa St,30.2,36,48,29.2,31.4,40.9
2006-07,50,Georgia,30,38,31,32,28,35
2006-07,51,USC,29.8,18.3,23,31.7,28.3,40.4
2006-07,51,Notre Dame,29.8,32.3,31,29.3,30.5,40.9
2006-07,53,Mississippi St,29.7,34.3,35,26,34.2,34.1
2006-07,54,Washington St,29.7,25.7,31,31.5,27.8,39.2
2006-07,55,Army,29.6,33,36,33.5,27.4,43.1
2006-07,55,Idaho,29.6,18,0,23.5,33.1,31.8
2006-07,55,Indiana,29.6,29.3,31,33.5,25,39
2006-07,58,Florida,29.3,35,43,23.2,34.6,37.9
